model,granularity,subset,bits,mse,rmse,mae,r2,nz_mae,ny_mae,mse_fp32_table2,mse_baseline_measured,delta_mse_vs_table2,delta_mse_vs_measured,delta_mse_pct_vs_measured,delta_nz_mae_vs_measured,delta_ny_mae_vs_measured,weight_mean_rel_l2_err,weight_max_rel_l2_err,weight_max_abs_err,n_params_quantized,n_tensors_quantized,direction_norm_mean_dev,params,space,n_test_samples,wall_clock_sec,precision,gpu
s4_concat,per_channel,A+B+C,2,9737.894724253576,52.15227425105204,46.85151360950911,-2.8738711765913627,0.2614713964486853,0.1304797263831678,10.232754160949133,10.21053228048407,9727.661970092628,9727.684191973092,95271.07818429924,0.253608255737153,0.12746680270431865,0.20083509342566255,0.32031787167316267,16.27983856201172,81920,20,0.5042448698169928,320645,physical,79829,27.443483352661133,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,A,8,10.718956980097435,1.634178254223873,1.0808474797378018,0.9954917860346113,0.008937394893364727,0.0033286288111209397,10.567923254529283,10.524976797110309,0.1510337255681513,0.19398018298712572,1.8430461817301493,0.00010449208804418943,0.0001904636149830767,0.003501890627938063,0.0056219889055305556,0.19567108154296875,32768,8,0.0061571075815437274,431141,physical,79829,34.19786334037781,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,A,6,12.5319171348203,1.7654213570406305,1.2180774737658395,0.9949662171748713,0.009492316499943618,0.003657931765771009,10.567923254529283,10.524976797110309,1.9639938802910173,2.0069403377099917,19.068358784990465,0.0006594136946230806,0.0005197665696331458,0.013279195679500597,0.02248143092741549,0.7924613952636719,32768,8,0.00945900754584213,431141,physical,79829,34.28798985481262,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,A,4,22.173344503867334,2.394471993191245,1.6591459962613928,0.9903984451567924,0.015595198343347707,0.005545454275937084,10.567923254529283,10.524976797110309,11.60542124933805,11.648367706757025,110.6735713655459,0.0067622955380271695,0.002407289079799221,0.05973511674708772,0.09020658447719827,3.3277664184570312,32768,8,0.022512555251067334,431141,physical,79829,34.253995418548584,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,A,2,1535.3605632865492,18.81581655078736,14.763005755178716,0.7731499725324851,0.1262444328764471,0.024034736582349427,10.567923254529283,10.524976797110309,1524.79264003202,1524.8355864894388,14487.780979318555,0.11741153007112656,0.020896571386211565,0.3419480077631894,0.6348790276988224,16.642242431640625,32768,8,0.16243530748804938,431141,physical,79829,34.21700382232666,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,B,8,10.522024277616797,1.6180591382012017,1.0656041799802416,0.9956723012744583,0.008831887650577764,0.00313353270561495,10.567923254529283,10.524976797110309,-0.04589897691248623,-0.0029525194935118293,-0.028052503586729616,-1.0151547427741936e-06,-4.63249052291316e-06,0.004120682684171174,0.004486441495273951,0.006205558776855469,16384,4,0.005940075776141634,431141,physical,79829,34.2510244846344,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,B,6,10.578543180077812,1.6223144515078585,1.0701322090020295,0.9956463005602414,0.008928333639461676,0.003136303662891654,10.567923254529283,10.524976797110309,0.010619925548528641,0.053566382967503046,0.5089453782188859,9.543083414113862e-05,-1.8615332462090448e-06,0.01664511715899679,0.018093000970198996,0.025118142366409302,16384,4,0.005997457689212422,431141,physical,79829,34.29341411590576,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,B,4,10.951690215634624,1.6501301494294143,1.0955613319277515,0.9956002760874876,0.009097617025612294,0.0030918154368225746,10.567923254529283,10.524976797110309,0.3837669611053407,0.4267134185243151,4.054293199406118,0.0002647142202917563,-4.634975931528838e-05,0.07064945600652359,0.0769516597412951,0.10546761751174927,16384,4,0.006562067678510282,431141,physical,79829,34.22598648071289,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,B,2,13.991617073765138,1.8584744524120957,1.3103198454525116,0.9945540735424343,0.01260846649335676,0.0033728176238253366,10.567923254529283,10.524976797110309,3.4236938192358544,3.4666402766548288,32.93727239005994,0.0037755636880362226,0.00023465242768747367,0.34496975620440906,0.3818083475167349,0.5273569226264954,16384,4,0.007573908721362232,431141,physical,79829,34.29770040512085,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,C,8,10.523329146435344,1.6181701141542522,1.0658611183726923,0.9956735260841754,0.008840789711307823,0.003129660803227854,10.567923254529283,10.524976797110309,-0.044594108093939155,-0.0016476506749647513,-0.015654672753455598,7.886905987285545e-06,-8.504392910009106e-06,0.011726230115669955,0.019827145267630044,0.01036003790795803,32768,8,0.005985464041034264,431141,physical,79829,34.28545141220093,fp32,NVIDIA RTX A4000
