model,granularity,subset,bits,quantized,agg_mse,agg_mae,agg_r2,mse_x_entry,mse_y_entry,mse_n_x,mse_n_y,mse_n_z,rmse_x_entry,rmse_y_entry,rmse_n_x,rmse_n_y,rmse_n_z,mae_x_entry,mae_y_entry,mae_n_x,mae_n_y,mae_n_z,r2_x_entry,r2_y_entry,r2_n_x,r2_n_y,r2_n_z,delta_mae_x_entry,delta_mae_y_entry,delta_mae_n_x,delta_mae_n_y,delta_mae_n_z,delta_mse_x_entry,delta_mse_y_entry,delta_mse_n_x,delta_mse_n_y,delta_mse_n_z
s4_concat,per_tensor,A+B+C,4,True,59.0773056362955,2.9446817013559063,0.9600494736403491,289.1230177830137,6.253597551674343,0.007404697513773014,0.0005159454805105727,0.001992203795145131,17.0036177851366,2.5007194068256324,0.08605055208290656,0.02271443330815393,0.044634110220157085,12.898176183859606,1.7178454998756627,0.05947276817615491,0.015192708358713312,0.03272134650939481,0.9954698727094368,0.9658499167997961,0.9910608304117421,0.8819866504837115,0.9658800977970587,8.304075978406644,1.2662601185985813,0.0479420165465865,0.012179784679864162,0.024858205797862548,238.77514570169842,5.550254934507807,0.00621810414125825,0.0004728019054706364,0.0017752368042029374
s4_concat,per_tensor,A+B+C,2,True,5351.801977519846,37.08841086865715,-9.18773334150903,23155.7413128374,3602.6634504319486,0.4201931032522624,0.12867170719947452,0.056259519435265005,152.17010650202423,60.02219131647851,0.6482230351138891,0.35870838741166133,0.23719089239527097,125.91181720020695,58.449005290273206,0.590604881827366,0.3340696295931322,0.1565573413850996,0.6371840040310024,-18.673676720953036,0.49273047240596624,-28.43136383240004,0.03645936937095595,121.317716994754,57.99741990899612,0.5790741301977976,0.33105670591428304,0.14869420067356734,23105.393440756085,3601.960107814782,0.41900650987974764,0.1286285636244346,0.05604255244432281
s4_concat,per_channel,A,8,True,10.168296929547315,1.0171752833817824,0.996032230576042,50.12418370439141,0.7158476890239338,0.0011899626329205494,4.3469785088570767e-05,0.00021982190322581655,7.07984348021843,0.8460778268126011,0.034495835008310057,0.0065931619947162505,0.014826392117633222,4.599241934643503,0.4637207883936953,0.011732545827745258,0.0030754727361795116,0.008105675307787545,0.9992146286578716,0.996090848837515,0.998563441955653,0.9900570600289417,0.9962351734002279,0.0051417291905409,0.012135407116613983,0.00020179419817684986,6.25490573303621e-05,0.0002425345962552821,-0.22368837692390287,0.012505071857397576,3.3692604057859385e-06,3.2621004863447466e-07,2.854912283623126e-06
s4_concat,per_channel,A,6,True,19.278101301128956,1.5685671206248044,0.9949702003035101,95.55252344416195,0.8358580213032017,0.0017624404091986763,5.079976009916659e-05,0.00031180001033831076,9.77509710663592,0.9142527119474143,0.04198142933725192,0.007127395043013022,0.017657859732660434,7.253591828547143,0.5546127679843855,0.01956447009528351,0.0036848696971607197,0.011381666800048873,0.99850283420028,0.9954354880154672,0.9978723298719872,0.9883804586523485,0.9946598907774673,2.6594916230941807,0.10302738670730421,0.008033718465715102,0.0006719460183115702,0.00351852608851661,45.20465136284663,0.13251540413666552,0.0005758470366839128,7.656185059230299e-06,9.483301939611734e-05
s4_concat,per_channel,A,4,True,44.73610865980422,2.573508973916856,0.9723418392221832,217.62501297990946,6.050645562040493,0.003492180492445898,0.00034863476552452665,0.0010439418131898733,14.752118931865668,2.4598060008952927,0.059094673976982884,0.01867176385681135,0.03231008841197859,11.018872346961379,1.7851451353166927,0.0292141469905711,0.011715912625454116,0.02259732769018296,0.9965901400104044,0.966958211229422,0.9957841365434962,0.9202559999233637,0.9821207084042299,6.4247721415084165,1.3335597540396114,0.01768339536100269,0.008702988946604966,0.014734186978650697,167.27714089859415,5.347302944873956,0.0023055871199311345,0.00030549119048459036,0.00082697482224768
s4_concat,per_channel,A,2,True,11801.479859424457,44.76986128857316,-5.133948800251324,56794.14784110151,2212.124277386714,0.9797113291041509,0.06612009035292096,0.08134721459843482,238.31522788336778,47.03322524967551,0.9898036821027445,0.25713827088343144,0.28521433098362153,176.91355498305273,45.69592430541964,0.8105861139284863,0.23661199864112084,0.19262904182385757,0.11012024897877049,-11.080123080789036,-0.18273645913418446,-14.123794330257617,-0.3932103800545528,172.31945477759976,45.24433892414255,0.7990553622989179,0.2335990749622717,0.1847659011123253,56743.7999690202,2211.4209347695473,0.9785247357316361,0.06607694677788102,0.08113024760749263
s4_concat,per_channel,B,8,True,10.213376145121476,1.0139800972345416,0.9960698305083548,50.361504185308846,0.7039299292079682,0.001186576660276851,4.3154278091946986e-05,0.00021688015220730164,7.096583980008187,0.839005321322796,0.034446722054164325,0.0065691915858762245,0.014726851401684667,4.595482763215161,0.4520154956499339,0.011530411209426921,0.0030137732195143507,0.007858042878671645,0.9992109101992187,0.9961559301744435,0.9985675296018569,0.9901292266412561,0.9962855559249986,0.001382557762198644,0.0004301143728525636,-3.4042014148728816e-07,8.495406652012268e-07,-5.0978328606180595e-06,0.013632103993529654,0.00058731204143192,-1.6712237912563238e-08,1.070305201069402e-08,-8.683873489178664e-08
s4_concat,per_channel,B,6,True,10.203237475835081,1.013047871123487,0.9960719429662968,50.3119020648438,0.7028388982986945,0.0011862845367249593,4.313000235290267e-05,0.00021700149383635506,7.093088330540076,0.838354876110764,0.034442481570365384,0.006567343629878268,0.01473097056667873,4.591502974444735,0.45133619635570044,0.011517145113641467,0.0030103528380220064,0.007872686865337089,0.9992116873906071,0.9961618881523941,0.9985678822620386,0.9901347792846745,0.9962834777417693,-0.0025972310082273964,-0.0002491849213808739,-1.3606515926941135e-05,-2.5708408271430706e-06,9.54615380482568e-06,-0.03597001647151643,-0.0005037188678417293,-3.088357898041981e-07,-1.3572687033620314e-08,3.450289416163672e-08
s4_concat,per_channel,B,4,True,10.192394191132228,1.0140271185936958,0.9960432136796268,50.24673443180305,0.7137911046928326,0.0011825064178817156,4.332747503238327e-05,0.00021958527234426618,7.088493100215521,0.8448615890741114,0.03438759104505164,0.006582360901104046,0.014818409912816766,4.588643541456608,0.4589411213240574,0.011439780976801624,0.0030216370990098626,0.008089512112001658,0.9992127084704061,0.9961020795771709,0.9985724433187194,0.9900896109224662,0.9962392261093717,-0.005456663996354472,0.007355740046976089,-9.097065276678432e-05,8.713420160713116e-06,0.000226371400469395,-0.10113764951226756,0.010448487526296346,-4.086954633047892e-06,1.8389999244697677e-07,2.6182814020727534e-06
s4_concat,per_channel,B,2,True,10.841648237882367,1.0618194316347174,0.9959005063056386,53.474089249892735,0.732651481653106,0.0012199394511076698,4.433528195152595e-05,0.00023618313294204862,7.3125979822422025,0.8559506303830298,0.03492763162751906,0.006658474446262143,0.015368250809446357,4.799693402451537,0.4844914580244283,0.012739263496114187,0.003092411936515453,0.00908062226499048,0.9991621406247538,0.9959990855106262,0.9985272530551621,0.9898590930195358,0.9959549593181154,0.20559319699857515,0.03290607674734697,0.0012085118665457785,7.948825766630361e-05,0.0012174815534582162,3.126217168577419,0.029308864486569774,3.334607859290634e-05,1.1917069115896587e-06,1.9216141999855193e-05
